bookID;;authors;average_rating;isbn;language_code;  num_pages;ratings_count;text_reviews_count;publication_date;publisher;review_sentences;has_spoiler;Genre
30;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;J.R.R. Tolkien;4.59;345538374;eng;1728;101233;1550;9/25/2012;Ballantine Books;#N/A;#N/A;{'fiction': 406, 'fantasy, paranormal': 514, 'young-adult': 50, 'children': 21}
31;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien;4.50;618517650;eng;1184;1710;91;10/21/2004;Houghton Mifflin Harcourt;#N/A;#N/A;{'fantasy, paranormal': 16465, 'fiction': 4528, 'young-adult': 283}
34;The Fellowship of the Ring (The Lord of the Rings  #1);J.R.R. Tolkien;4.36;618346252;eng;398;2128944;13670;09/05/2003;Houghton Mifflin Harcourt;"[[0, ""The pace is slower than Hobbit and there is much more scenery, but the story somehow manages to hold one's interest.""], [0, 'There is an adventure underneath the overgrowth; and perhaps there is some use for this surfeit of nature--like the green of the surrounding garden, a comfortable home (as per Japanese architecture) is not complete if it does not interact with its environment.'], [0, 'The power of the Ring is well depicted--my sons would sometimes scream in warning as Frodo fingered the ring, ""Don\'t put on the ring!!!""'], [0, 'Thank you for the memories, J.R.R.']]";FALSE;{'fantasy, paranormal': 36953, 'fiction': 8925, 'young-adult': 661}
35;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien/Alan  Lee;4.50;618260587;en-US;1216;1618;140;10/01/2002;Houghton Mifflin Harcourt;#N/A;#N/A;{'fantasy, paranormal': 16465, 'fiction': 4528, 'young-adult': 283}
36;The Lord of the Rings: Weapons and Warfare;Chris   Smith/Christopher  Lee/Richard Taylor;4.53;618391002;eng;218;19822;46;11/05/2003;Houghton Mifflin Harcourt;#N/A;#N/A;{'fantasy, paranormal': 118, 'non-fiction': 37, 'fiction': 20}
37;The Lord of the Rings: Complete Visual Companion;Jude Fisher;4.50;618510826;eng;224;359;6;11/15/2004;Houghton Mifflin Harcourt;#N/A;#N/A;{'fantasy, paranormal': 8, 'non-fiction': 5, 'fiction': 2, 'young-adult': 1}
45;Agile Web Development with Rails: A Pragmatic Guide;Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz;3.84;97669400;eng;558;1430;59;7/28/2005;Pragmatic Bookshelf;#N/A;#N/A;{'non-fiction': 32}
50;Hatchet (Brian's Saga  #1);Gary Paulsen;3.72;689840926;eng;208;270244;12017;04/01/2000;Atheneum Books for Young Readers: Richard Jackson Books;#N/A;#N/A;{'young-adult': 2555, 'fiction': 2715, 'children': 2204}
51;"Hatchet: A Guide for Using ""Hatchet"" in the Classroom";Donna Ickes/Edward Sciranko/Keith Vasconcelles;4.00;1557344493;eng;48;36;2;8/28/1994;Teacher Created Resources;#N/A;#N/A;#N/A
53;Guts: The True Stories behind Hatchet and the Brian Books;Gary Paulsen;3.88;385326505;eng;144;2067;334;1/23/2001;Delacorte Press;#N/A;#N/A;{'non-fiction': 81, 'history, historical fiction, biography': 55, 'young-adult': 39, 'children': 27, 'fiction': 4}
54;Molly Hatchet - 5 of the Best;Molly Hatchet;4.33;1575606240;eng;56;6;0;06/10/2003;Cherry Lane Music Company;#N/A;#N/A;#N/A
55;Hatchet Jobs: Writings on Contemporary Fiction;Dale Peck;3.45;1595580271;en-US;228;99;16;11/01/2005;The New Press;#N/A;#N/A;{'non-fiction': 9}
57;A Changeling for All Seasons (Changeling Seasons #1);Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati;3.76;1595962808;eng;304;167;4;11/01/2005;Changeling Press;#N/A;#N/A;{'romance': 18, 'fantasy, paranormal': 20, 'fiction': 3}
58;Changeling (Changeling  #1);Delia Sherman;3.60;670059676;eng;256;978;111;8/17/2006;Viking Juvenile;#N/A;#N/A;{'fantasy, paranormal': 190, 'young-adult': 43, 'fiction': 17, 'children': 31}
59;The Changeling Sea;Patricia A. McKillip;4.06;141312629;eng;137;4454;302;4/14/2003;Firebird;"[[0, 'Originally posted at Paperback Wonderland.'], [0, 'Sometimes people ask me to recommend a book and it usually goes a bit like this:'], [0, 'Hipster girl: Hey do you know which book I shoul--'], [0, 'Me: The Changeling Sea!'], [0, ""Metalhead dude: Hey, I've been thinking about readi--""], [0, 'Me: The Changeling Sea!'], [0, 'Mum: Any books you--'], [0, 'Me: The Changeling Sea!'], [0, 'Some friend: Got any books yo--'], [0, 'Me: The Changeling Sea!'], [0, 'Some friend.'], [0, 'You always say that!'], [0, ""I've already read it!""], [0, 'Me: READ IT AGAIN.'], [0, ""Anyone who's lived their whole life by the sea will tell you that it's hard to successfully write a story that will give you the sense of wonder and possibility it brings.""], [0, ""A Menina do Mar comes to mind, and though it's a children's book it's absolutely perfect, perhaps because I read it when I was a little girl and those books always have a special place in our hearts.""], [0, ""The Changeling Sea through what I can only assume to be some freaky magical powers Patricia McKillip possesses, managed to be placed into that same corner of my heart even though I've read it as an adult.""], [0, ""I guess that's the highest praise a book can get.""]]";FALSE;{'fantasy, paranormal': 798, 'young-adult': 159, 'fiction': 110, 'romance': 62, 'children': 22, 'history, historical fiction, biography': 3}
61;The Changeling;Zilpha Keatley Snyder;4.17;595321801;eng;228;1176;96;06/08/2004;iUniverse;#N/A;#N/A;{'fiction': 47, 'fantasy, paranormal': 41, 'young-adult': 39, 'children': 73, 'mystery, thriller, crime': 5}
63;The Changeling;Kate Horsley;3.55;1590301943;eng;339;301;43;04/12/2005;Shambhala;#N/A;#N/A;#N/A
66;The Changeling (Daughters of England  #15);Philippa Carr;3.98;449146979;eng;369;345;12;8/28/1990;Ivy Books;#N/A;#N/A;{'fiction': 30, 'history, historical fiction, biography': 44, 'romance': 22, 'mystery, thriller, crime': 3}
67;The Known World;Edward P. Jones;3.83;61159174;eng;388;29686;2626;8/29/2006;Amistad;#N/A;#N/A;{'fiction': 1290, 'history, historical fiction, biography': 928}
68;The Known World;Edward P. Jones/Kevin R. Free;3.83;6076273;en-US;14;55;12;6/15/2004;HarperAudio;#N/A;#N/A;{'fiction': 1290, 'history, historical fiction, biography': 928}
69;The Known World;Edward P. Jones;3.83;60749911;eng;576;22;3;6/15/2004;Harper;#N/A;#N/A;{'fiction': 1290, 'history, historical fiction, biography': 928}
71;Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives;Satyajit Das;3.83;273704745;eng;334;1456;82;5/15/2006;FT Press;#N/A;#N/A;{'non-fiction': 30, 'history, historical fiction, biography': 6, 'fiction': 1}
72;Artesia: Adventures in the Known World;Mark Smylie;4.13;1932386106;eng;352;52;4;12/14/2005;Archaia;#N/A;#N/A;{'fantasy, paranormal': 6, 'fiction': 2, 'comics, graphic': 2}
74;The John McPhee Reader (John McPhee Reader  #1);John McPhee/William Howarth;4.42;374517193;eng;416;562;37;06/01/1982;Farrar  Straus and Giroux;#N/A;#N/A;{'non-fiction': 55, 'history, historical fiction, biography': 9, 'fiction': 1}
75;Uncommon Carriers;John McPhee;3.95;374280398;en-US;248;1630;203;5/16/2006;Farrar Straus Giroux;#N/A;#N/A;{'non-fiction': 142, 'history, historical fiction, biography': 15, 'fiction': 2}
76;Heirs of General Practice;John McPhee;4.17;374519749;eng;128;268;22;04/01/1986;Farrar  Straus and Giroux;#N/A;#N/A;{'non-fiction': 17, 'history, historical fiction, biography': 5}
77;The Control of Nature;John McPhee;4.24;374522596;en-US;288;3498;305;09/01/1990;Farrar  Straus and Giroux;#N/A;#N/A;{'non-fiction': 234, 'history, historical fiction, biography': 50, 'fiction': 2}
78;Annals of the Former World;John McPhee;4.34;374518734;eng;720;3115;228;01/06/1999;Farrar  Straus and Giroux;#N/A;#N/A;{'non-fiction': 296, 'history, historical fiction, biography': 101, 'fiction': 2}
79;Coming Into the Country;John McPhee;4.22;374522871;eng;448;5704;261;04/01/1991;Farrar  Straus and Giroux;#N/A;#N/A;{'non-fiction': 218, 'history, historical fiction, biography': 60, 'fiction': 6}
80;La Place de la Concorde Suisse;John McPhee;3.92;374519323;fre;160;698;52;04/01/1994;Farrar  Straus and Giroux;#N/A;#N/A;{'non-fiction': 51, 'history, historical fiction, biography': 22, 'fiction': 1}
81;Giving Good Weight;John McPhee;4.23;374516006;eng;288;542;36;04/01/1994;Farrar  Straus and Giroux;#N/A;#N/A;{'non-fiction': 59, 'history, historical fiction, biography': 1}
83;Rising from the Plains;John McPhee;4.23;374520658;eng;208;1341;98;11/01/1987;Farrar  Straus and Giroux;#N/A;#N/A;{'non-fiction': 78, 'history, historical fiction, biography': 31, 'fantasy, paranormal': 1}
85;The Heidi Chronicles;Wendy Wasserstein;3.75;822205106;eng;81;1423;70;03/01/2002;Dramatists Play Service;#N/A;#N/A;{'fiction': 14, 'poetry': 1, 'romance': 1}
86;The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic;Wendy Wasserstein;3.84;679734996;eng;249;2766;64;07/02/1991;Vintage;#N/A;#N/A;{'fiction': 18, 'poetry': 2}
89;Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening;Heidi Hayes Jacobs;3.94;1596670231;eng;138;31;1;3/29/2006;Routledge;#N/A;#N/A;#N/A
90;Simply Beautiful Beaded Jewelry;Heidi Boyd;3.77;1581807740;en-US;128;62;4;3/14/2006;North Light Books;#N/A;#N/A;#N/A
91;Always Enough: God's Miraculous Provision Among the Poorest Children on Earth;Heidi Baker/Rolland Baker;4.46;800793617;eng;192;860;53;09/01/2003;Chosen Books;#N/A;#N/A;{'non-fiction': 21, 'history, historical fiction, biography': 14, 'children': 1}
92;Mapping the Big Picture: Integrating Curriculum & Assessment K-12;Heidi Hayes Jacobs;3.68;871202867;en-US;108;77;2;1/28/1997;Association for Supervision & Curriculum Development;#N/A;#N/A;#N/A
93;Heidi (Heidi  #1-2);Johanna Spyri/Beverly Cleary/Angelo  Rinaldi;3.99;753454947;eng;352;153317;2257;11/15/2002;Kingfisher;#N/A;#N/A;{'children': 3496, 'fiction': 1278, 'young-adult': 371, 'history, historical fiction, biography': 332}
94;Getting Results with Curriculum Mapping;Heidi Hayes Jacobs;3.25;871209993;eng;192;55;5;11/15/2004;ASCD;#N/A;#N/A;#N/A
96;There's Always Enough: The Miraculous Move of God in Mozambique;Rolland Baker/Heidi Baker;4.46;1852402873;eng;192;34;6;4/28/2003;Sovereign World;#N/A;#N/A;#N/A
98;What to Expect the First Year (What to Expect);Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome;3.89;761129588;eng;832;11797;659;10/16/2003;Workman Publishing Company;#N/A;#N/A;{'non-fiction': 204, 'children': 18}
99;The Player's Handbook: The Ultimate Guide on Dating and Relationships;Heidi Fleiss/Libby Keatinge;3.82;972016414;eng;123;34;8;05/10/2004;One Hour Entertainment;#N/A;#N/A;{'comics, graphic': 1, 'history, historical fiction, biography': 1, 'non-fiction': 1}
100;Simply Beautiful Beading: 53 Quick and Easy Projects;Heidi Boyd;3.78;1581805632;en-US;128;78;4;8/19/2004;North Light Books;#N/A;#N/A;{'non-fiction': 7}
103;God Emperor of Dune (Dune Chronicles  #4);Frank Herbert;3.84;441294677;eng;423;2785;166;6/15/1987;Ace Books;#N/A;#N/A;{'fiction': 1242, 'fantasy, paranormal': 661}
105;Chapterhouse: Dune (Dune Chronicles #6);Frank Herbert;3.91;441102670;eng;436;38778;568;07/01/1987;Ace Books;#N/A;#N/A;{'fiction': 1919, 'fantasy, paranormal': 547}
106;Dune Messiah (Dune Chronicles #2);Frank Herbert;3.88;441172695;eng;331;97494;2359;7/15/1987;Ace Books;[[0, 'The first time I read this, I thought it was the best of the series.'], [0, 'I now realized that it was more along the easiest read of the series with the quickest plot.'], [0, 'Nothing more than set up for the third book, but with some cool insights into the destruction of a Messiah and whether it is possible.']];FALSE;{'fiction': 2031, 'fantasy, paranormal': 1440}
107;Dreamer of Dune: The Biography of Frank Herbert;Brian Herbert;4.01;765306476;en-US;592;784;21;07/01/2004;Tor Books;#N/A;#N/A;{'history, historical fiction, biography': 42, 'non-fiction': 26, 'fiction': 18, 'fantasy, paranormal': 5, 'mystery, thriller, crime': 1, 'comics, graphic': 1}
109;Heretics of Dune (Dune Chronicles  #5);Frank Herbert;3.86;399128980;eng;480;272;20;4/16/1984;Putnam;#N/A;#N/A;{'fiction': 2169, 'fantasy, paranormal': 600}
110;The Road to Dune;Frank Herbert/Brian Herbert/Kevin J. Anderson;3.88;765353709;eng;426;4789;83;8/29/2006;Tor Science Fiction;#N/A;#N/A;{'fiction': 115, 'fantasy, paranormal': 38, 'non-fiction': 11, 'history, historical fiction, biography': 6}
117;Heretics of Dune (Dune Chronicles #5);Frank Herbert;3.86;441328008;eng;471;45388;644;8/15/1987;Ace Books;#N/A;#N/A;{'fiction': 2166, 'fantasy, paranormal': 598}
119;The Lord of the Rings: The Art of the Fellowship of the Ring;Gary Russell;4.59;618212906;eng;192;26153;102;06/12/2002;Houghton Mifflin Harcourt;#N/A;#N/A;{'fantasy, paranormal': 108, 'non-fiction': 49, 'fiction': 13}
122;The Power of One (The Power of One  #1);Bryce Courtenay;4.35;34541005;eng;544;69167;4551;9/29/1996;Ballantine Books;[[0, 'One of my top 5 favorites.'], [0, 'Read this at the deeper/figuring your life out moments - it will give you strength and inspiration.']];FALSE;{'fiction': 1775, 'history, historical fiction, biography': 582, 'young-adult': 61, 'non-fiction': 18}
123;The Power of One (The Power of One  #1);Bryce Courtenay;4.35;385732546;eng;291;45;13;9/13/2005;Delacorte Books for Young Readers;#N/A;#N/A;{'fiction': 1775, 'history, historical fiction, biography': 582, 'young-adult': 61, 'non-fiction': 18}
129;The Power of One: One Person  One Rule  One Month;John C. Maxwell/Stephen R. Graves/Thomas G. Addington;4.28;785260056;en-US;256;16;1;11/01/2004;Thomas Nelson;#N/A;#N/A;{'non-fiction': 1}
130;Power of an Hour: Business and Life Mastery in One Hour a Week;Dave Lakhani;3.34;471780936;eng;205;174;16;5/19/2006;Wiley;#N/A;#N/A;#N/A
131;The Power of One: The Solo Play for Playwrights  Actors  and Directors;Louis E. Catron;3.67;325001537;eng;240;10;0;02/07/2000;Heinemann Drama;#N/A;#N/A;#N/A
132;How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days;Adam Ginsberg;3.48;6076287;eng;336;76;9;05/03/2005;William Morrow Paperbacks;#N/A;#N/A;#N/A
133;eBay for Dummies;Marsha Collier;3.50;470045299;eng;386;111;9;10/30/2006;Wiley;#N/A;#N/A;#N/A
135;What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond;Chris Malta/Lisa Suttora;3.62;72262788;eng;260;24;0;1/24/2006;McGraw-Hill;#N/A;#N/A;#N/A
137;Starting an eBay Business for Dummies;Marsha Collier;3.55;764569244;eng;384;55;4;9/17/2004;Wiley;#N/A;#N/A;{'non-fiction': 7}
138;eBay: Top 100 Simplified Tips & Tricks;Julia Wilkinson;4.27;471933821;eng;260;9;0;06/06/2006;Wiley;#N/A;#N/A;#N/A
139;ebay Timesaving Techniques for Dummies;Marsha Collier;3.39;764559915;en-US;391;22;1;5/31/2004;Wiley;#N/A;#N/A;#N/A
140;eBay Business All-in-One Desk Reference for Dummies;Marsha Collier;3.89;764584383;en-US;864;17;3;4/25/2005;Wiley;#N/A;#N/A;#N/A
141;Ruby Cookbook;Lucas Carlson/Leonard Richardson;3.84;596523696;eng;873;166;4;7/29/2006;O'Reilly Media;#N/A;#N/A;{'non-fiction': 6}
142;Ruby Ann's Down Home Trailer Park Cookbook;Ruby Ann Boxcar;4.12;806523492;eng;240;50;5;05/03/2005;Citadel;#N/A;#N/A;{'non-fiction': 2}
144;Ruby Ann's Down Home Trailer Park BBQin' Cookbook;Ruby Ann Boxcar;4.08;806525363;eng;206;13;2;05/03/2005;Citadel;#N/A;#N/A;{'non-fiction': 1}
147;Rails Cookbook: Recipes for Rapid Web Development with Ruby;Rob Orsini;3.48;596527314;eng;514;64;1;01/01/2007;O'Reilly Media;#N/A;#N/A;#N/A
151;Anna Karenina;Leo Tolstoy/Richard Pevear/Larissa Volokhonsky;4.05;143035002;eng;838;16643;1851;5/31/2004;Penguin Classics;[[0, 'Well if Melanie says its her BBE, I gotta check it out...']];FALSE;{'fiction': 7109, 'romance': 1240, 'history, historical fiction, biography': 1661}
152;Anna Karenina;Leo Tolstoy/David Magarshack/Priscilla Meyer;4.05;451528611;eng;960;109420;5696;11/05/2002;Signet;[[0, 'ONE DAY I WILL FINISH THIS!']];FALSE;{'fiction': 7109, 'romance': 1240, 'history, historical fiction, biography': 1661}
153;Anna Karenina;Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley;4.05;140449175;eng;837;2904;309;1/30/2003;Penguin Books;[[0, 'Finished, boom.'], [0, 'Such a different book than what I read as a teenager.'], [0, 'Vronsky is still a dick but Anna is much less sympathetic.'], [0, 'And holy cow, Alexi is totally a different person.'], [0, 'Hero, not a zero.'], [0, 'Levin and the peasants are still my favorite part of the book though.']];FALSE;{'fiction': 7109, 'romance': 1240, 'history, historical fiction, biography': 1661}
154;CliffsNotes on Tolstoy's Anna Karenina;Marianne Sturman/Leo Tolstoy;3.85;822001837;eng;80;16;3;11/26/1965;Cliffs Notes;#N/A;#N/A;{}
155;Anna Karenina;Leo Tolstoy/Amy Mandelker/Constance Garnett;4.05;1593080271;eng;803;9564;726;07/01/2003;Barnes & Noble Classics;"[[0, ""I read this way back in 2003, so I can't write a review.""], [0, ""This was one of the books Oprah made me read that didn't make me want to jump off a cliff.""], [0, 'I started reading the book, then saw the audio version at my library.'], [0, 'I switched and it was wonderful.'], [0, ""This is NOT a romance, you'll be disappointed if that's what you're expecting.""], [0, ""Honestly, Tolstoy should've picked a different title.""], [0, ""Maybe naming it after the GOOD character, it has more of a 'man' feel anyway.""], [0, 'I recommend doing this door stopper audio style.'], [0, 'Narrator was excellent.']]";FALSE;{'fiction': 7109, 'romance': 1240, 'history, historical fiction, biography': 1661}
156;Anna Karenina;Leo Tolstoy/Louise Maude/Aylmer Maude;4.05;486437965;eng;752;474;72;11/23/2004;Dover Publications;#N/A;#N/A;{'fiction': 7109, 'romance': 1240, 'history, historical fiction, biography': 1661}
157;Anna Karenina;Leo Tolstoy/Constance Garnett/Amy Mandelker;4.05;1593081774;eng;803;303;48;8/26/2004;Barnes & Noble;#N/A;#N/A;{'fiction': 7109, 'romance': 1240, 'history, historical fiction, biography': 1661}
159;Dinner with Anna Karenina;Gloria Goldreich;2.99;778322270;eng;360;411;65;1/28/2006;Mira Books;#N/A;#N/A;{'fiction': 28, 'romance': 1}
160;Tolstoy: Anna Karenina;Anthony Thorlby;4.19;521313252;eng;128;1204;33;11/26/1987;Cambridge University Press;#N/A;#N/A;{'fiction': 17, 'non-fiction': 1, 'history, historical fiction, biography': 4, 'romance': 2}
162;Untouchable;Mulk Raj Anand/E.M. Forster;3.71;140183957;eng;160;3429;279;07/03/1990;Penguin Books;#N/A;#N/A;{'fiction': 152, 'history, historical fiction, biography': 50, 'non-fiction': 4}
163;The Untouchable;John Banville;3.95;679767479;eng;367;2163;216;6/30/1998;Vintage;#N/A;#N/A;{'fiction': 231, 'history, historical fiction, biography': 63, 'mystery, thriller, crime': 15}
164;The Untouchables;Eliot Ness/Oscar Fraley;3.89;1568491980;eng;256;613;31;02/01/1996;Buccaneer Books;#N/A;#N/A;{'non-fiction': 33, 'history, historical fiction, biography': 38, 'mystery, thriller, crime': 31, 'fiction': 9}
165;Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India;Narendra Jadhav;3.82;743270797;en-US;320;308;40;9/27/2005;Scribner;#N/A;#N/A;{'non-fiction': 40, 'history, historical fiction, biography': 29}
166;Dalit: The Black Untaouchables of India;V.T. Rajshekar/Y.N. Kly;4.20;932863051;eng;100;10;0;1/28/1995;Clarity Press;#N/A;#N/A;#N/A
168;Growing Up Untouchable in India: A Dalit Autobiography;Vasant Moon/Gail Omvedt/Eleanor Zelliot;3.65;742508803;eng;224;16;4;12/20/2000;Rowman & Littlefield Publishers;#N/A;#N/A;{'non-fiction': 3, 'history, historical fiction, biography': 1}
171;The Evidence-Based Social Work Skills Book;Barry R. Cournoyer;3.40;205358624;eng;216;10;0;9/22/2003;Pearson;#N/A;#N/A;#N/A
177;"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom";John Carratello/Patty Carratello/Theresa Wright;4.00;1557344035;eng;48;17;0;9/28/1991;Teacher Created Resources;#N/A;#N/A;#N/A
180;Wrinkles in Time;George Smoot/Keay Davidson;4.01;380720442;eng;360;1035;23;10/01/1994;Harper Perennial;#N/A;#N/A;{'non-fiction': 28, 'history, historical fiction, biography': 9}
181;A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1);Madeleine L'Engle;4.00;821925326;eng;250;36;6;05/01/2002;EMC/Paradigm Publishing;#N/A;#N/A;#N/A
182;Literature Circle Guide: A Wrinkle in Time;Tara MacCarthy;3.60;43927169;eng;32;15;0;01/01/2002;Teaching Resources;#N/A;#N/A;#N/A
201;Una arruga en el tiempo – A Wrinkle in Time;Madeleine L'Engle;4.00;606105263;spa;205;6;1;06/01/1984;Turtleback Books;#N/A;#N/A;#N/A
204;The Long Shadow (The Morland Dynasty  #6);Cynthia Harrod-Eagles;4.12;751506435;eng;367;376;17;06/01/1994;Little  Brown Book Group;#N/A;#N/A;{'fiction': 50, 'history, historical fiction, biography': 62, 'romance': 4, 'non-fiction': 1}
205;A Long Shadow (Inspector Ian Rutledge  #8);Charles Todd;4.11;6078671;eng;352;3086;237;01/03/2006;William Morrow;#N/A;#N/A;{'mystery, thriller, crime': 284, 'fiction': 91, 'history, historical fiction, biography': 135}
207;Long Way Round: Chasing Shadows Across the World;Ewan McGregor/Charley Boorman/Robert Uhlig;3.94;743499344;en-US;320;352;44;11/01/2005;Atria Books;#N/A;#N/A;{'non-fiction': 274, 'history, historical fiction, biography': 57, 'comics, graphic': 3}
208;A Shadow in Summer (Long Price Quartet  #1);Daniel Abraham;3.60;765313405;eng;331;9852;633;03/07/2006;Tor Books;[[0, 'Something about the setting just rubbed me the wrong way.'], [0, 'Part of it was the language, definitely.'], [0, 'Also getting the distinct vibe that this is a crapsack world.']];FALSE;{'fantasy, paranormal': 1008, 'fiction': 187}
213;New Hope for the Dead (Hoke Mosely #2);Charles Willeford/James Lee Burke;3.90;1400032490;eng;244;821;78;08/10/2004;Vintage Crime/Black Lizard;#N/A;#N/A;#N/A
214;Sideswipe: A Hoke Moseley Novel;Charles Willeford/Lawrence Block;4.05;1400032482;eng;215;731;72;03/08/2005;Vintage Crime/Black Lizard;#N/A;#N/A;#N/A
